,tradePrice,segment,productType,tradedQty,symbol,orderDateTime,tradeValue,side,orderType
2,197.9,10,CO,2,NSE:MOTHERSON-EQ,23-10-2024 12:36,395.8,1,2
3,272.45,10,CO,2,NSE:MARKSANS-EQ,23-10-2024 11:01,544.9,1,2
4,1854.45,10,CO,1,NSE:INFY-EQ,23-10-2024 09:56,1854.45,1,2
5,198.22,10,CO,2,NSE:MOTHERSON-EQ,23-10-2024 12:51,396.44,-1,2
6,272.05,10,CO,1,NSE:MARKSANS-EQ,23-10-2024 11:47,272.05,-1,2
0,79.01,10,CO,2,NSE:IDBI-EQ,24-10-2024 09:53,158.02,-1,2
1,792,10,CO,1,NSE:SBIN-EQ,24-10-2024 10:15,792,-1,2
2,1162.6,10,CO,1,NSE:AXISBANK-EQ,24-10-2024 09:53,1162.6,1,2
3,1168.5,10,CO,1,NSE:AXISBANK-EQ,24-10-2024 10:15,1168.5,-1,2
4,790,10,CO,1,NSE:SBIN-EQ,24-10-2024 09:27,790,1,2
5,79.69,10,CO,2,NSE:IDBI-EQ,24-10-2024 09:31,159.38,1,2
0,1868.85,10,CO,1,NSE:INFY-EQ,25-10-2024 10:00,1868.85,-1,2
1,1867.85,10,CO,1,NSE:INFY-EQ,25-10-2024 09:58,1867.85,1,2
0,484.6,10,CO,1,NSE:ITC-EQ,28-10-2024 10:54,484.6,-1,2
1,795.4,10,CO,1,NSE:SBIN-EQ,28-10-2024 13:18,795.4,1,2
2,791.2,10,CO,1,NSE:SBIN-EQ,28-10-2024 14:14,791.2,-1,1
3,483.75,10,CO,1,NSE:ITC-EQ,28-10-2024 10:21,483.75,1,2
4,1176.25,10,CO,1,NSE:AXISBANK-EQ,28-10-2024 13:41,1176.25,-1,2
5,791.3,10,CO,1,NSE:SBIN-EQ,28-10-2024 14:55,791.3,-1,2
6,793.4,10,CO,1,NSE:SBIN-EQ,28-10-2024 14:40,793.4,1,2
7,1181.9,10,CO,1,NSE:AXISBANK-EQ,28-10-2024 13:10,1181.9,1,2
8,791.4,10,INTRADAY,1,NSE:SBIN-EQ,28-10-2024 12:47,791.4,-1,2
9,795.7,10,INTRADAY,1,NSE:SBIN-EQ,28-10-2024 12:14,795.7,1,2
0,795.9,10,CO,1,NSE:SBIN-EQ,29-10-2024 09:26,795.9,1,2
1,155.15,10,CO,2,NSE:MANAPPURAM-EQ,29-10-2024 14:37,310.3,-1,2
2,457.65,10,CO,1,NSE:PFC-EQ,29-10-2024 13:47,457.65,-1,2
3,455.65,10,CO,1,NSE:PFC-EQ,29-10-2024 13:44,455.65,1,2
4,52.95,10,CO,25,NSE:CENTRALBK-EQ,29-10-2024 13:38,1323.75,-1,2
5,796.75,10,CO,1,NSE:SBIN-EQ,29-10-2024 10:58,796.75,-1,2
6,53.1,10,CO,25,NSE:CENTRALBK-EQ,29-10-2024 13:29,1327.5,1,2
7,154.67,10,CO,2,NSE:MANAPPURAM-EQ,29-10-2024 14:08,309.34,1,2
0,1343.95,10,CO,1,NSE:RELIANCE-EQ,30-10-2024 12:18,1343.95,1,2
1,488.65,10,CO,2,NSE:ITC-EQ,30-10-2024 09:35,977.3,1,1
2,1344.55,10,CO,1,NSE:RELIANCE-EQ,30-10-2024 12:29,1344.55,-1,2
3,490.85,10,CO,2,NSE:ITC-EQ,30-10-2024 09:38,981.7,-1,2
4,850,10,CO,1,NSE:TATAMOTORS-EQ,30-10-2024 12:58,850,-1,2
5,695.15,10,CO,1,NSE:HINDALCO-EQ,30-10-2024 12:10,695.15,-1,2
6,828,10,CO,1,NSE:SBIN-EQ,30-10-2024 10:55,828,1,2
7,828.45,10,CO,1,NSE:SBIN-EQ,30-10-2024 11:00,828.45,-1,2
8,848,10,CO,1,NSE:TATAMOTORS-EQ,30-10-2024 12:56,848,1,2
9,696.65,10,CO,1,NSE:HINDALCO-EQ,30-10-2024 11:27,696.65,1,1
0,1737.5,10,CO,1,NSE:HDFCBANK-EQ,04-11-2024 10:03,1737.5,1,2
1,1756.9,10,CO,1,NSE:HCLTECH-EQ,04-11-2024 12:57,1756.9,1,2
2,205.26,10,CO,2,NSE:FEDERALBNK-EQ,04-11-2024 14:26,410.52,-1,2
3,1739.3,10,CO,1,NSE:HDFCBANK-EQ,04-11-2024 10:35,1739.3,-1,2
4,1756.35,10,CO,1,NSE:HCLTECH-EQ,04-11-2024 12:52,1756.35,-1,2
5,1765.2,10,CO,1,NSE:HCLTECH-EQ,04-11-2024 12:36,1765.2,1,2
6,205.92,10,CO,1,NSE:FEDERALBNK-EQ,04-11-2024 13:52,205.92,-1,2
7,1753.5,10,CO,1,NSE:HCLTECH-EQ,04-11-2024 13:44,1753.5,-1,2
8,206.73,10,CO,2,NSE:FEDERALBNK-EQ,04-11-2024 14:15,413.46,1,2
9,205.7,10,CO,1,NSE:FEDERALBNK-EQ,04-11-2024 14:03,205.7,1,2
0,519.4,10,CO,1,NSE:SYRMA-EQ,05-11-2024 09:38,519.4,-1,2
1,1742.4,10,CO,1,NSE:HDFCBANK-EQ,05-11-2024 13:53,1742.4,1,2
2,513.35,10,CO,1,NSE:SYRMA-EQ,05-11-2024 09:27,513.35,1,2
3,1745.95,10,CO,1,NSE:HDFCBANK-EQ,05-11-2024 13:56,1745.95,-1,2
0,1311.7,10,CO,1,NSE:ICICIBANK-EQ,06-11-2024 11:16,1311.7,-1,2
1,1310.2,10,CO,1,NSE:ICICIBANK-EQ,06-11-2024 11:07,1310.2,1,2
2,1818.7,10,CO,1,NSE:HCLTECH-EQ,06-11-2024 10:35,1818.7,1,2
3,1754.7,10,CO,1,NSE:HDFCBANK-EQ,06-11-2024 14:09,1754.7,1,2
4,298.25,10,CO,1,NSE:BEL-EQ,06-11-2024 12:30,298.25,-1,2
5,298,10,CO,1,NSE:BEL-EQ,06-11-2024 12:02,298,1,2
6,1173.75,10,CO,1,NSE:AXISBANK-EQ,06-11-2024 10:29,1173.75,-1,2
